round_epochs,val_loss,val_custom_iou,loss,custom_iou,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,lr,optimizer,shapes
5,0.3057282175503525,0.30424627661705017,0.1491286173170688,0.4949411083670223,relu,64,0.0,20,512,2,sigmoid,0.001,Adam,brick
4,0.2650620469860002,0.283068261310166,0.21614395228086733,0.33324282777075676,relu,64,0.0,20,512,2,sigmoid,0.001,Adam,triangle
20,0.5561040581441393,0.1457577905818528,0.5618245309474421,0.14553934744760103,relu,64,0.0,20,512,2,sigmoid,0.001,SGD,brick
20,0.5880831141097873,0.14407972056491702,0.5918803717575821,0.14426867167154947,relu,64,0.0,20,512,2,sigmoid,0.001,SGD,triangle
5,0.2724766105997796,0.2920771445713791,0.22405255249902314,0.34357214908973843,relu,64,0.0,20,512,4,sigmoid,0.001,Adam,brick
5,0.27178769193443597,0.2832401540933871,0.22759521416589326,0.32980060635828506,relu,64,0.0,20,512,4,sigmoid,0.001,Adam,triangle
20,0.6027572330306558,0.1419928217051076,0.6060527142356423,0.14226229371977786,relu,64,0.0,20,512,4,sigmoid,0.001,SGD,brick
20,0.5896065363696977,0.1431824053619422,0.593740283274183,0.1432170765657051,relu,64,0.0,20,512,4,sigmoid,0.001,SGD,triangle
4,0.26602037923008787,0.278707134957407,0.23834274095647476,0.32094056582918357,relu,64,0.0,20,512,6,sigmoid,0.001,Adam,brick
5,0.2677627235066657,0.2729385343252444,0.23563471202756844,0.3229897337801316,relu,64,0.0,20,512,6,sigmoid,0.001,Adam,triangle
20,0.586986196976082,0.14348327149363124,0.5914659359875847,0.14362851837102106,relu,64,0.0,20,512,6,sigmoid,0.001,SGD,brick
20,0.6111977193869796,0.1415958921698963,0.6142108370276058,0.14160598434653937,relu,64,0.0,20,512,6,sigmoid,0.001,SGD,triangle
4,0.2660602430502574,0.2822372142006369,0.22409390029953977,0.32065143363148557,relu,64,0.0,20,256,2,sigmoid,0.001,Adam,brick
6,0.28079118623453025,0.29506032899314283,0.1664553576824712,0.4226537013755125,relu,64,0.0,20,256,2,sigmoid,0.001,Adam,triangle
20,0.5966845902742124,0.14278156266492956,0.60073969410915,0.14273720921254626,relu,64,0.0,20,256,2,sigmoid,0.001,SGD,brick
20,0.5965447437529471,0.1433245714973001,0.5999426654740876,0.1434312988730038,relu,64,0.0,20,256,2,sigmoid,0.001,SGD,triangle
4,0.26642490660443024,0.27589322305193137,0.23895163132863886,0.31134691425398286,relu,64,0.0,20,256,4,sigmoid,0.001,Adam,brick
